Tahun,Provinsi,Kabupaten/Kota,Rumah Tangga(ton),Perkantoran(ton),Pasar(ton),Perniagaan(ton),Fasilitas Publik(ton),Kawasan(ton),Lain(ton)
2022,Aceh,Kab. Aceh Selatan,1.10,0.92,6.00,5.65,5.95,0.40,
2022,Aceh,Kab. Aceh Tenggara,20.00,14.00,25.00,15.00,8.00,8.00,1.00
2022,Aceh,Kab. Aceh Timur,19.30,5.04,10.00,8.00,5.00,2.00,2.00
2022,Aceh,Kab. Aceh Barat,38.80,5.95,13.15,25.56,7.39,6.06,4.09
2022,Aceh,Kab. Pidie,9.90,6.60,39.60,,3.96,,5.94
2022,Aceh,Kab. Simeulue,27.21,4.46,5.80,3.57,2.68,0.45,0.45
2022,Aceh,Kab. Aceh Singkil,31.00,1.00,10.00,4.00,3.00,2.00,1.77
2022,Aceh,Kab. Aceh Barat Daya,4.00,1.00,4.50,2.00,3.20,3.50,2.00
2022,Aceh,Kab. Gayo Lues,22.00,4.00,11.05,1.00,2.00,,1.00
2022,Aceh,Kab. Aceh Jaya,17.94,3.78,7.08,10.39,4.72,2.36,0.94
2022,Aceh,Kab. Nagan Raya,13.50,1.00,8.50,2.85,1.50,1.50,1.00
2022,Aceh,Kab. Aceh Tamiang,7.50,3.00,24.00,6.00,2.50,,7.00
2022,Aceh,Kab. Bener Meriah,37.85,0.28,2.01,21.06,2.25,0.80,1.00
2022,Aceh,Kab. Pidie Jaya,17.00,6.50,22.00,26.50,8.00,9.50,10.50
2022,Aceh,Kota Banda Aceh,192.94,0.58,9.38,39.57,2.55,,7.19
2022,Aceh,Kota Sabang,7.00,3.00,0.50,4.50,0.50,2.00,2.00
2022,Aceh,Kota Langsa,20.00,4.02,13.40,10.00,8.20,2.20,
2022,Aceh,Kota Subulussalam,15.00,0.50,8.00,2.00,2.00,24.00,
2022,Sumatera Utara,Kab. Tapanuli Tengah,,,,,,,
2022,Sumatera Utara,Kab. Nias,4.60,0.50,0.50,,,,1.25
2022,Sumatera Utara,Kab. Langkat,8.50,5.40,7.60,6.00,3.90,1.90,2.80
2022,Sumatera Utara,Kab. Deli Serdang,446.00,67.80,180.00,67.80,100.16,25.90,83.00
2022,Sumatera Utara,Kab. Simalungun,254.10,50.80,138.25,12.10,79.30,13.80,45.80
2022,Sumatera Utara,Kab. Asahan,,,,,,,
2022,Sumatera Utara,Kab. Toba,,,,,,,
2022,Sumatera Utara,Kab. Humbang Hasundutan,49.10,0.75,5.50,,1.45,,2.50
2022,Sumatera Utara,Kota Medan,795.00,141.00,353.00,177.00,177.00,88.00,36.00
2022,Sumatera Utara,Kota Pematang Siantar,169.01,4.83,24.14,12.07,4.82,12.08,14.48
2022,Sumatera Utara,Kota Tebing Tinggi,76.85,9.50,22.32,9.00,4.20,2.57,0.18
2022,Sumatera Utara,Kota Padangsidimpuan,,,,,,,
2022,Sumatera Barat,Kab. Pesisir Selatan,86.10,16.00,28.30,1.50,18.00,3.60,
2022,Sumatera Barat,Kab. Solok,6.00,1.00,4.00,2.00,2.00,1.00,1.00
2022,Sumatera Barat,Kab. Sijunjung,22.80,7.30,2.20,0.90,1.61,0.70,
2022,Sumatera Barat,Kab. Tanah Datar,96.40,0.28,17.75,1.54,12.27,,
2022,Sumatera Barat,Kab. Padang Pariaman,15.00,12.00,30.00,,,,
2022,Sumatera Barat,Kab. Agam,,,,,,,
2022,Sumatera Barat,Kab. Lima Puluh Kota,,,,,,,
2022,Sumatera Barat,Kab. Pasaman,51.77,4.55,13.00,3.84,8.85,,5.84
2022,Sumatera Barat,Kab. Dharmasraya,,,,,,,
2022,Sumatera Barat,Kab. Solok Selatan,68.95,0.04,1.31,1.99,0.41,,0.01
2022,Sumatera Barat,Kab. Pasaman Barat,50.00,5.00,20.00,15.00,5.00,,5.00
2022,Sumatera Barat,Kota Padang,465.15,14.10,88.60,20.13,40.68,7.05,8.05
2022,Sumatera Barat,Kota Solok,32.71,1.60,16.21,0.45,1.53,0.04,1.73
2022,Sumatera Barat,Kota Sawahlunto,12.59,0.32,2.33,0.18,1.40,0.28,1.08
2022,Sumatera Barat,Kota Padang Panjang,38.13,0.36,6.76,1.52,1.00,0.01,0.63
2022,Sumatera Barat,Kota Bukittinggi,26.33,0.03,28.89,19.94,12.70,,39.80
2022,Sumatera Barat,Kota Payakumbuh,77.80,0.75,9.29,6.76,3.33,0.35,0.54
2022,Sumatera Barat,Kota Pariaman,86.95,0.39,6.25,1.41,2.93,2.01,0.06
2022,Riau,Kab. Indragiri Hulu,5.00,1.00,9.00,3.00,1.00,1.00,2.00
2022,Riau,Kab. Bengkalis,168.01,24.05,15.41,6.87,32.01,17.42,11.21
2022,Riau,Kab. Rokan Hulu,,,,,,,
2022,Riau,Kab. Rokan Hilir,197.25,4.25,93.50,74.25,4.75,15.25,63.50
2022,Riau,Kab. Siak,17.40,4.50,7.00,2.00,4.30,2.80,1.00
2022,Riau,Kab. Kuantan Singingi,,,,,,,
2022,Riau,Kota Pekanbaru,,,,,,,
2022,Riau,Kota Dumai,,,,,,,
2022,Jambi,Kab. Merangin,,,,,,,
2022,Jambi,Kab. Sarolangun,5.18,2.30,20.10,10.12,11.04,2.50,2.11
2022,Jambi,Kab. Bungo,16.70,1.50,67.30,1.50,1.20,2.60,64.60
2022,Jambi,Kota Jambi,51.30,2.45,18.70,9.24,6.27,3.79,8.25
2022,Jambi,Kota Sungai Penuh,19.92,1.47,18.64,2.88,0.66,2.77,2.53
2022,Sumatera Selatan,Kab. Ogan Komering Ulu,51.85,0.50,2.80,0.20,0.15,1.50,
2022,Sumatera Selatan,Kab. Muara Enim,60.60,25.70,57.90,4.00,0.10,0.10,
2022,Sumatera Selatan,Kab. Lahat,42.67,3.16,5.00,5.53,7.24,0.29,2.30
2022,Sumatera Selatan,Kab. Musi Rawas,,,,,,,
2022,Sumatera Selatan,Kab. Musi Banyuasin,,,,,,,
2022,Sumatera Selatan,Kab. Banyuasin,,,,,,,
2022,Sumatera Selatan,Kab. Ogan Komering Ulu Timur,1.00,0.20,18.00,0.40,0.40,0.90,2.90
2022,Sumatera Selatan,Kab. Penukal Abab Lematang Ilir,82.98,1.97,5.58,2.10,4.56,0.97,1.95
2022,Sumatera Selatan,Kota Palembang,893.48,14.50,103.75,100.10,70.55,15.25,7.35
2022,Sumatera Selatan,Kota Prabumulih,54.52,5.96,19.60,1.13,1.24,13.21,2.75
2022,Bengkulu,Kab. Bengkulu Utara,17.72,3.30,8.21,2.70,2.20,0.76,4.90
2022,Bengkulu,Kab. Seluma,4.25,,,,,,
2022,Bengkulu,Kab. Lebong,51.71,2.39,11.93,6.36,3.99,1.59,1.59
2022,Lampung,Kab. Lampung Tengah,73.00,1.00,5.00,3.00,3.00,0.50,2.00
2022,Lampung,Kab. Tanggamus,365.81,0.44,32.57,2.10,1.47,88.40,2.04
2022,Lampung,Kab. Way Kanan,187.05,1.19,5.40,0.10,0.08,,18.85
2022,Lampung,Kab. Pringsewu,,,,,,,
2022,Lampung,Kab. Tulang Bawang Barat,,,,,,,
2022,Lampung,Kota Bandar Lampung,40.90,8.20,17.30,18.10,6.30,5.80,3.40
2022,Lampung,Kota Metro,49.37,9.31,18.56,8.50,8.04,4.13,2.09
2022,Kepulauan Bangka Belitung,Kab. Bangka,79.79,6.62,17.57,9.92,3.84,5.10,7.65
2022,Kepulauan Bangka Belitung,Kab. Belitung,14.34,0.54,8.95,2.00,1.80,2.71,11.74
2022,Kepulauan Bangka Belitung,Kab. Bangka Tengah,41.18,1.65,12.35,3.29,5.77,16.47,1.65
2022,Kepulauan Bangka Belitung,Kab. Belitung Timur,,,,,,,
2022,Kepulauan Riau,Kab. Bintan,20.50,6.30,11.30,6.10,5.10,3.00,3.50
2022,Kepulauan Riau,Kab. Karimun,74.52,5.58,18.63,20.08,37.67,29.81,0.03
2022,Kepulauan Riau,Kab. Natuna,,,,,,,
2022,Kepulauan Riau,Kab. Lingga,16.30,0.10,0.70,5.10,3.90,1.20,0.30
2022,Kepulauan Riau,Kab. Kepulauan Anambas,,,,,,,
2022,Kepulauan Riau,Kota Batam,,,,,,,
2022,Kepulauan Riau,Kota Tanjung Pinang,,,,,,,
2022,DKI Jakarta,Kab. Adm. Kep. Seribu,5.14,0.00,,,0.00,,
2022,DKI Jakarta,Kota Adm. Jakarta Pusat,,,,,,,
2022,DKI Jakarta,Kota Adm. Jakarta Utara,,,,,,,
2022,DKI Jakarta,Kota Adm. Jakarta Barat,,,,,,,
2022,DKI Jakarta,Kota Adm. Jakarta Selatan,,,,,,,
2022,DKI Jakarta,Kota Adm. Jakarta Timur,,,,,,,
2022,Jawa Barat,Kab. Bandung,,,,,,,
2022,Jawa Barat,Kab. Garut,,,,,,,
2022,Jawa Barat,Kab. Ciamis,289.00,24.00,100.00,100.00,30.00,24.00,24.00
2022,Jawa Barat,Kab. Kuningan,29999.99,600.00,49862.00,600.00,1180.00,600.00,5.00
2022,Jawa Barat,Kab. Sumedang,105.00,0.50,12.00,3.00,0.50,4.00,4.00
2022,Jawa Barat,Kab. Indramayu,416.50,35.60,182.60,81.30,57.90,174.80,164.80
2022,Jawa Barat,Kab. Karawang,878.70,1.10,2.60,,15.90,102.00,3.70
2022,Jawa Barat,Kab. Bekasi,550.70,,33.00,,,,32.42
2022,Jawa Barat,Kota Bogor,460.00,23.91,36.00,143.48,45.43,20.96,6.87
2022,Jawa Barat,Kota Sukabumi,68.60,1.80,25.27,34.30,30.69,,19.87
2022,Jawa Barat,Kota Bandung,60.00,4.00,10.00,6.00,13.30,5.00,1.70
2022,Jawa Barat,Kota Bekasi,921.00,47.00,435.00,211.00,69.00,73.00,24.00
2022,Jawa Barat,Kota Cimahi,,,,,,,
2022,Jawa Barat,Kota Tasikmalaya,,,,,,,
2022,Jawa Barat,Kota Banjar,,,,,,,
2022,Jawa Tengah,Kab. Cilacap,373.00,155.00,207.00,31.00,8.00,62.00,114.00
2022,Jawa Tengah,Kab. Banyumas,99999.99,16242.00,35733.00,68218.00,19491.00,12994.00,9747.00
2022,Jawa Tengah,Kab. Purbalingga,72.55,3.17,8.72,1.55,10.85,1.90,13.26
2022,Jawa Tengah,Kab. Kebumen,,,,,,,
2022,Jawa Tengah,Kab. Purworejo,16.00,0.02,26.80,,1.10,2.20,11.80
2022,Jawa Tengah,Kab. Wonosobo,125.00,2.92,35.00,3.50,8.97,,5.00
2022,Jawa Tengah,Kab. Boyolali,,,,,,,
2022,Jawa Tengah,Kab. Klaten,142.44,0.73,2.62,1.20,13.73,14.00,
2022,Jawa Tengah,Kab. Sukoharjo,175.73,26.32,50.42,43.17,17.98,31.76,14.38
2022,Jawa Tengah,Kab. Wonogiri,,,,,,,
2022,Jawa Tengah,Kab. Karanganyar,60.00,1.00,22.00,1.00,1.00,,1.00
2022,Jawa Tengah,Kab. Sragen,134.55,45.60,123.71,24.20,189.17,68.70,4.25
2022,Jawa Tengah,Kab. Grobogan,,,,,,,
2022,Jawa Tengah,Kab. Blora,155.00,39.00,78.00,43.00,39.00,23.00,12.00
2022,Jawa Tengah,Kab. Rembang,52.28,3.68,1661.23,0.02,152.00,,11.86
2022,Jawa Tengah,Kab. Kudus,200.34,18.67,113.20,32.68,38.56,18.53,26.18
2022,Jawa Tengah,Kab. Jepara,,,,,,,
2022,Jawa Tengah,Kab. Demak,,0.34,234.16,,,,
2022,Jawa Tengah,Kab. Semarang,,,,,,,
2022,Jawa Tengah,Kab. Temanggung,272.46,12.52,12.05,10.13,50.27,,42.71
2022,Jawa Tengah,Kab. Kendal,114.99,45.44,55.97,45.40,45.59,52.19,50.43
2022,Jawa Tengah,Kab. Batang,140.00,24.10,60.00,48.00,24.00,19.00,15.00
2022,Jawa Tengah,Kab. Pekalongan,162.88,75.78,77.03,22.34,22.69,17.26,12.62
2022,Jawa Tengah,Kab. Pemalang,,,,,,,
2022,Jawa Tengah,Kab. Tegal,45.00,8.00,17.00,18.00,6.00,4.00,2.00
2022,Jawa Tengah,Kab. Brebes,25.00,3.00,45.00,2.00,10.00,9.00,6.00
2022,Jawa Tengah,Kota Magelang,,,,,,,
2022,Jawa Tengah,Kota Surakarta,148.51,74.26,2.75,74.26,3.44,0.13,54.46
2022,Jawa Tengah,Kota Salatiga,,,,,,,0.75
2022,Jawa Tengah,Kota Semarang,872.47,5.84,31.30,97.25,109.57,80.35,15.12
2022,Jawa Tengah,Kota Tegal,,,,,,,
2022,D.I. Yogyakarta,Kab. Kulon Progo,0.43,,0.23,,,,
2022,D.I. Yogyakarta,Kab. Gunungkidul,,,,,,,
2022,D.I. Yogyakarta,Kota Yogyakarta,193.25,0.94,27.58,55.56,8.40,,17.40
2022,Jawa Timur,Kab. Pacitan,23.16,0.00,9.60,1.62,0.89,1.79,0.63
2022,Jawa Timur,Kab. Ponorogo,37.50,3.22,16.40,7.29,5.25,15.74,14.60
2022,Jawa Timur,Kab. Trenggalek,124.14,19.75,44.86,56.17,19.72,18.87,10.44
2022,Jawa Timur,Kab. Tulungagung,322.00,12.20,60.50,46.83,18.00,35.80,58.50
2022,Jawa Timur,Kab. Kediri,,,,,,,
2022,Jawa Timur,Kab. Malang,738.89,30.15,106.03,22.29,20.84,31.70,10.66
2022,Jawa Timur,Kab. Lumajang,178.80,3.82,133.18,8.05,146.27,20.78,33.60
2022,Jawa Timur,Kab. Jember,141.00,13.72,19.60,9.03,5.88,6.77,
2022,Jawa Timur,Kab. Banyuwangi,,,,,,,
2022,Jawa Timur,Kab. Situbondo,,,,,,,
2022,Jawa Timur,Kab. Mojokerto,472.17,24.79,159.35,70.83,28.33,53.12,17.71
2022,Jawa Timur,Kab. Jombang,99.50,0.60,29.19,1.20,4.20,1.20,1.81
2022,Jawa Timur,Kab. Nganjuk,181.42,22.96,95.04,8.89,23.31,47.66,64.85
2022,Jawa Timur,Kab. Magetan,14.94,2.52,12.86,1.00,10.89,,
2022,Jawa Timur,Kab. Ngawi,,,,,,,
2022,Jawa Timur,Kab. Bojonegoro,76.00,9.00,22.00,7.00,57.00,,19.00
2022,Jawa Timur,Kab. Tuban,138.15,0.70,129.00,70.89,55.95,95.62,15.00
2022,Jawa Timur,Kab. Gresik,128.49,54.61,6.42,64.24,28.91,22.49,16.06
2022,Jawa Timur,Kab. Sampang,55.00,0.08,4.00,0.05,2.00,27.04,11.83
2022,Jawa Timur,Kab. Pamekasan,247.00,3.00,10.00,6.00,5.00,2.50,6.80
2022,Jawa Timur,Kab. Sumenep,,,,,,,
2022,Jawa Timur,Kota Kediri,72.68,0.71,35.33,24.52,8.27,19.68,0.71
2022,Jawa Timur,Kota Blitar,68.88,0.70,2.10,1.40,1.10,0.40,1.40
2022,Jawa Timur,Kota Malang,364.74,2.40,23.05,110.45,48.46,183.60,32.10
2022,Jawa Timur,Kota Probolinggo,48.60,0.50,11.20,3.10,1.40,1.60,1.60
2022,Jawa Timur,Kota Pasuruan,84.69,0.73,21.90,1.46,18.25,7.30,11.69
2022,Jawa Timur,Kota Mojokerto,77.50,4.50,7.50,3.90,2.10,4.50,
2022,Jawa Timur,Kota Madiun,87.44,5.16,9.41,4.78,4.61,3.17,2.03
2022,Jawa Timur,Kota Surabaya,,,,,,,
2022,Jawa Timur,Kota Batu,11100.00,900.00,700.00,500.23,200.00,100.00,
2022,Banten,Kab. Lebak,1.30,119.80,8.00,50.30,132.40,131.30,69.30
2022,Banten,Kab. Tangerang,33.98,9.60,14.97,1.47,14.73,13.19,12.06
2022,Banten,Kab. Serang,,,,,,,
2022,Banten,Kota Tangerang,896.00,30.50,107.39,139.08,164.91,43.65,
2022,Banten,Kota Cilegon,225.13,,58.08,,,,
2022,Banten,Kota Serang,360.65,14.60,28.68,120.65,12.55,12.87,65.00
2022,Banten,Kota Tangerang Selatan,904.86,8.56,0.10,32.37,26.74,,
2022,Bali,Kab. Jembrana,,,,,,,
2022,Bali,Kab. Badung,,,,,,,
2022,Bali,Kab. Gianyar,,,,,,,
2022,Bali,Kab. Klungkung,21424.00,33.58,66575.00,3.65,,,
2022,Bali,Kab. Bangli,90.04,1.30,9.90,0.20,2.27,1.10,6.50
2022,Bali,Kab. Karangasem,24.00,7.00,9.00,5.00,7.00,8.00,1.00
2022,Bali,Kab. Buleleng,,,,,,,
2022,Bali,Kota Denpasar,,,,,,,
2022,Nusa Tenggara Barat,Kab. Lombok Barat,304.00,13.00,73.00,24.00,36.00,24.00,13.00
2022,Nusa Tenggara Barat,Kab. Lombok Tengah,255.00,20.00,52.00,32.00,13.00,20.00,20.00
2022,Nusa Tenggara Barat,Kab. Lombok Timur,132.40,0.15,17.82,3.00,5.16,0.47,21.00
2022,Nusa Tenggara Barat,Kab. Sumbawa,134.92,10.76,18.16,20.32,52.65,12.97,10.00
2022,Nusa Tenggara Barat,Kab. Bima,,,,,,,
2022,Nusa Tenggara Barat,Kab. Lombok Utara,,,,,,,
2022,Nusa Tenggara Barat,Kota Mataram,,,,,,,
2022,Nusa Tenggara Barat,Kota Bima,11.50,2.00,1.15,3.34,0.75,5.00,0.25
2022,Nusa Tenggara Timur,Kab. Manggarai Barat,2.00,2.00,5.00,8.00,5.00,0.50,
2022,Nusa Tenggara Timur,Kota Kupang,105.11,17.52,42.70,24.09,16.42,8.76,4.38
2022,Kalimantan Barat,Kab. Sambas,317.82,0.90,37.60,,,,
2022,Kalimantan Barat,Kab. Mempawah,82.62,,15.59,,,,
2022,Kalimantan Barat,Kab. Sanggau,246.14,0.26,0.16,8.03,,,
2022,Kalimantan Barat,Kab. Kapuas Hulu,108.35,0.19,8.35,,,,
2022,Kalimantan Barat,Kota Pontianak,,,,,,,
2022,Kalimantan Barat,Kota Singkawang,,,,,,,
2022,Kalimantan Tengah,Kab. Kapuas,,,,,,,
2022,Kalimantan Tengah,Kab. Barito Selatan,5.00,2.00,4.00,3.00,1.00,1.00,1.00
2022,Kalimantan Tengah,Kab. Barito Utara,32.50,5.20,24.00,2.00,1.50,2.00,1.50
2022,Kalimantan Tengah,Kab. Seruyan,115.07,80.93,16.29,,,,
2022,Kalimantan Tengah,Kab. Gunung Mas,83.30,2.26,7.00,,,,8.70
2022,Kalimantan Tengah,Kab. Pulang Pisau,38.10,0.10,2.30,6.50,3.90,0.00,
2022,Kalimantan Tengah,Kab. Murung Raya,30.00,10.00,20.00,15.00,5.00,5.00,15.00
2022,Kalimantan Tengah,Kab. Barito Timur,17.56,,6.80,,4.20,0.50,18.71
2022,Kalimantan Tengah,Kota Palangkaraya,72.27,20.36,19.87,13.90,5.85,3.05,16.61
2022,Kalimantan Selatan,Kab. Tanah Laut,,,,,,,
2022,Kalimantan Selatan,Kab. Kotabaru,75.00,,,,,,25.00
2022,Kalimantan Selatan,Kab. Banjar,,,,,,,
2022,Kalimantan Selatan,Kab. Barito Kuala,37.50,9.30,19.00,10.50,14.70,4.00,5.00
2022,Kalimantan Selatan,Kab. Tapin,,,,,,,
2022,Kalimantan Selatan,Kab. Hulu Sungai Selatan,48.31,0.79,35.02,5.69,4.71,3.60,1.88
2022,Kalimantan Selatan,Kab. Hulu Sungai Tengah,,,,,,,
2022,Kalimantan Selatan,Kab. Tabalong,37.56,6.92,18.78,20.76,6.92,6.92,2.14
2022,Kalimantan Selatan,Kab. Tanah Bumbu,129.63,0.51,6.82,6.31,0.51,,26.78
2022,Kalimantan Selatan,Kab. Balangan,26.76,5.16,9.94,6.72,2.78,3.90,1.30
2022,Kalimantan Selatan,Kota Banjarbaru,,,,,,,
2022,Kalimantan Timur,Kab. Paser,94.91,2.37,10.08,5.34,2.37,2.37,1.19
2022,Kalimantan Timur,Kab. Kutai Kartanegara,86.72,12.13,1.60,8.17,78.02,125.79,1.33
2022,Kalimantan Timur,Kab. Berau,65.55,1.58,8.66,5.30,3.85,11.00,4.06
2022,Kalimantan Timur,Kab. Kutai Barat,,,,,,,
2022,Kalimantan Timur,Kab. Kutai Timur,55.00,4.00,21.00,4.00,9.00,7.00,2.00
2022,Kalimantan Timur,Kab. Penajam Paser Utara,13.00,2.00,5.00,2.50,2.00,1.50,2.00
2022,Kalimantan Timur,Kab. Mahakam Ulu,10.00,1.00,4.00,0.20,,,0.10
2022,Kalimantan Timur,Kota Balikpapan,361.86,14.72,33.15,45.14,23.52,15.49,20.85
2022,Kalimantan Timur,Kota Samarinda,,,,,,,
2022,Kalimantan Timur,Kota Bontang,82.20,5.06,5.91,,3.03,,3.80
2022,Kalimantan Utara,Kab. Nunukan,,,,,,,
2022,Kalimantan Utara,Kab. Tana Tidung,6.00,3.00,1.00,,,,1.00
2022,Sulawesi Utara,Kab. Bolaang Mongondow,0.88,0.75,3.50,0.62,,0.25,
2022,Sulawesi Utara,Kab. Minahasa,,,,,,,
2022,Sulawesi Utara,Kab. Kepulauan Sangihe,65.84,1.32,13.17,4.39,1.31,,1.75
2022,Sulawesi Utara,Kab. Minahasa Selatan,15.00,1.50,8.00,1.50,1.70,1.30,1.00
2022,Sulawesi Utara,Kab. Minahasa Utara,57581.00,9627.00,13290.00,9863.00,7678.00,15003.00,5079.00
2022,Sulawesi Utara,Kab. Minahasa Tenggara,,,,,,,
2022,Sulawesi Utara,Kab. Bolaang Mongondow Utara,35.00,20.00,10.00,10.00,10.00,10.00,5.00
2022,Sulawesi Utara,Kab. Kep. Siau Tagulandang Biaro,6.75,0.36,0.90,,3.33,,
2022,Sulawesi Utara,Kab. Bolaang Mongondow Timur,20.00,2.00,5.00,,2.00,,71.00
2022,Sulawesi Utara,Kab. Bolaang Mongondow Selatan,7.00,2.00,4.91,3.00,3.00,4.00,5.00
2022,Sulawesi Utara,Kota Manado,,,,,,,
2022,Sulawesi Utara,Kota Bitung,54.62,3.55,5.95,10.72,45.81,25.25,9.60
2022,Sulawesi Utara,Kota Tomohon,,,,,,,
2022,Sulawesi Utara,Kota Kotamobagu,49.35,6.21,11.90,7.20,6.45,,5.09
2022,Sulawesi Tengah,Kab. Banggai,90.00,1.50,40.00,7.90,30.00,19.00,
2022,Sulawesi Tengah,Kab. Donggala,3.00,0.50,2.00,1.50,1.69,1.00,1.00
2022,Sulawesi Tengah,Kab. Morowali,6.20,2.40,2.30,0.02,1.50,1.20,1.20
2022,Sulawesi Tengah,Kab. Parigi Moutong,,,,,,,
2022,Sulawesi Tengah,Kab. Sigi,,,,,,,
2022,Sulawesi Tengah,Kab. Banggai Laut,,,,,,,
2022,Sulawesi Tengah,Kab. Morowali Utara,,,,,,,
2022,Sulawesi Tengah,Kota Palu,137.44,0.46,36.65,20.68,4.96,2.61,0.14
2022,Sulawesi Selatan,Kab. Kepulauan Selayar,33.00,5.50,16.00,7.10,4.60,2.00,
2022,Sulawesi Selatan,Kab. Bulukumba,,,,,,,
2022,Sulawesi Selatan,Kab. Bantaeng,31.37,0.92,1.80,2.30,0.09,,3.12
2022,Sulawesi Selatan,Kab. Jeneponto,2.50,0.50,6.50,3.00,3.90,0.40,3.80
2022,Sulawesi Selatan,Kab. Sinjai,54.15,0.70,21.13,12.00,6.00,9.00,4.74
2022,Sulawesi Selatan,Kab. Bone,190.00,34.10,73.60,29.30,22.70,16.30,11.50
2022,Sulawesi Selatan,Kab. Maros,,,,,,,
2022,Sulawesi Selatan,Kab. Pangkajene Kepulauan,84.09,5.14,23.71,19.65,1.18,4.04,0.47
2022,Sulawesi Selatan,Kab. Barru,8.30,1.38,0.83,0.41,0.83,1.38,0.69
2022,Sulawesi Selatan,Kab. Soppeng,44.19,7.53,15.20,8.06,3.28,13.89,2.08
2022,Sulawesi Selatan,Kab. Wajo,5.29,0.31,1.20,0.04,0.04,0.23,25.55
2022,Sulawesi Selatan,Kab. Sidenreng Rappang,94.00,4.49,7.27,3.53,8.98,2.24,4.90
2022,Sulawesi Selatan,Kab. Pinrang,120.00,30.00,5.00,5.00,10.00,5.00,5.00
2022,Sulawesi Selatan,Kab. Enrekang,,,,,,,
2022,Sulawesi Selatan,Kab. Luwu Timur,46.40,11.20,22.70,11.30,5.90,5.90,16.80
2022,Sulawesi Selatan,Kab. Toraja Utara,,,,,,,
2022,Sulawesi Selatan,Kota Parepare,33.25,5.35,15.60,8.45,4.35,7.70,2.25
2022,Sulawesi Selatan,Kota Palopo,6.70,0.50,13.00,4.20,3.60,3.00,3.00
2022,Sulawesi Tenggara,Kab. Kolaka,78.39,3.62,18.09,6.03,10.85,1.20,2.40
2022,Sulawesi Tenggara,Kab. Wakatobi,22.00,10.20,25.00,5.20,10.20,5.10,3.00
2022,Sulawesi Tenggara,Kab. Kolaka Utara,5.00,1.00,2.00,1.00,1.00,2.00,3.00
2022,Sulawesi Tenggara,Kab. Buton Selatan,,,,,,,
2022,Sulawesi Tenggara,Kota Kendari,163.02,8.12,18.78,2.18,2.45,5.23,1.58
2022,Sulawesi Tenggara,Kota Bau Bau,41.26,4.74,9.00,9.00,9.00,8.00,
2022,Gorontalo,Kab. Gorontalo,102.86,7.91,18.99,4.75,11.08,1.58,11.08
2022,Gorontalo,Kab. Bone Bolango,20.82,2.33,12.81,7.79,3.62,3.18,
2022,Gorontalo,Kab. Pohuwato,6.40,1.10,3.30,1.20,0.90,0.50,1.50
2022,Gorontalo,Kota Gorontalo,,,,,,,
2022,Sulawesi Barat,Kab. Mamuju,,,,,,,
2022,Sulawesi Barat,Kab. Majene,,,,,,,
2022,Sulawesi Barat,Kab. Mamuju Tengah,,,,,,,
2022,Maluku,Kab. Maluku Tengah,,,,,,,
2022,Maluku,Kab. Buru Selatan,5.43,0.41,2.51,9.92,1.60,,1.05
2022,Maluku Utara,Kab. Halmahera Utara,116.60,7.20,10.00,2.90,0.40,1.00,5.90
2022,Maluku Utara,Kota Tidore Kepulauan,,,,,,,
2022,Papua,Kab. Jayapura,78.00,0.53,9.00,3.50,8.00,0.27,
2022,Papua,Kab. Kepulauan Yapen,,,,,,,
2022,Papua,Kab. Biak Numfor,26.59,3.36,9.55,3.05,3.45,6.52,
2022,Papua,Kab. Sarmi,6.00,2.00,5.00,,2.00,1.00,0.73
2022,Papua,Kab. Waropen,15.00,10.00,35.00,10.00,20.00,5.00,5.00
2022,Papua,Kota Jayapura,,,,,,,
2022,Papua Barat,Kab. Manokwari,137.05,,19.80,4.40,4.12,,
2022,Papua Barat,Kab. Teluk Wondama,,,,,,,
2022,Papua Barat,Kab. Kaimana,10.00,9.00,2.47,3.00,1.00,1.00,0.53
2022,Papua Selatan,Kab. Merauke,48.00,9.24,20.85,13.18,0.21,,0.90
2022,Papua Selatan,Kab. Boven Digoel,7.00,2.00,,1.00,1.00,1.00,3.00
2022,Papua Selatan,Kab. Asmat,29.00,2.00,4.00,3.00,4.12,2.63,0.80
2022,Papua Tengah,Kab. Mimika,,,,,,,
2022,Papua Barat Daya,Kab. Sorong,,,,,,,
2021,Aceh,Kab. Aceh Selatan,1.10,0.95,6.00,5.65,5.95,0.40,
2021,Aceh,Kab. Gayo Lues,16.00,6.00,11.00,2.00,3.00,,2.00
2021,Aceh,Kota Banda Aceh,190.29,0.57,9.23,46.18,2.36,0.00,0.05
2021,Aceh,Kota Sabang,7.00,3.00,0.50,4.50,0.50,2.00,2.00
2021,Aceh,Kota Langsa,10.00,2.20,14.00,12.00,12.08,2.50,
2021,Aceh,Kota Subulussalam,26.00,1.50,6.00,2.50,4.00,26.00,
2021,Sumatera Utara,Kab. Tapanuli Tengah,,,,,,,
2021,Sumatera Utara,Kab. Tapanuli Utara,2.00,2.00,0.51,0.50,2.00,1.00,
2021,Sumatera Utara,Kab. Langkat,8.50,5.40,7.60,6.00,3.90,1.90,2.80
2021,Sumatera Utara,Kab. Karo,49.25,35.94,60.14,35.94,24.90,24.25,13.98
2021,Sumatera Utara,Kab. Deli Serdang,477.07,67.87,255.50,67.87,100.50,25.95,123.40
2021,Sumatera Utara,Kab. Simalungun,,,,,,,
2021,Sumatera Utara,Kab. Asahan,,,,,,,
